日期 : 2025-04-09
一年內交易績效排序
起使日期_2024-04-01
結束日期2025-02-05
                 做多 做多 做空 做空
次數  利潤 次數 利潤 次數 利潤    品種
  22  389   13  305    9  127  特斯拉      
   7  195    3  163    4  119  美超微      
  19  140   10  104    9  134   美光      
  19  132   16  125    3  105 尖牙正3      
  17  130   10  127    7  102 美債反3      
  17  120   12  117    5  101  英偉達      
  16  119    8  108    8  109  醫保股      
   9  116    5   90    4  128  英特爾      
  19  114   12  100    7  113  生技股      
  25  113   17  113    8  100  金融股      
  21  113   13  106    8  106  工業股      
  28  113   18  115   10   98 納斯達克指     
  18  113   12  106    6  107  道瓊指      
  15  111   12  105    3  105  台灣指      
  22  111   13  116    9   95  台積電      
  23  111   13  114   10   97  公用股      
  17  109    9  103    8  105  羅素指      
  18  108   11  109    7   99 WTI原油     
  28  107   18  132   10   81   奈飛      
  23  106   13  102   10  104  金礦股      
  31  106   18  106   13   99 標普500指    
  21  104    8  102   13  101 費半正3      
  23  104   15  121    8   85   谷哥      
  18  103   15  106    3   97  地產股      
  19  103    9   97   10  106  南韓指      
  19  102   11  114    8   89   臉書      
  10  101    6   99    4  102 美債正1      
  20  101   12  104    8   97  消費股      
  21  100   11   96   10  104  日經指      
  16   98   10   94    6  103  能源股      
  22   97   12  109   10   88  亞馬遜      
  20   96    8   98   12   97  費半指      
  19   90   12   90    7  100   微軟      
  25   83   17   98    8   85   蘋果      
