
日期 : 2025-06-03
一年內交易績效排序
起使日期_2024-07-04
結束日期2025-06-02
            做多 做多 做空 做空
次數  利潤 次數 利潤 次數 利潤    品種
   8 150.07    6 118.31    2 126.84  日月光      
  11 149.02    6 116.74    5 127.65   廣達      
   6 144.58    5  124.2    1 116.41  元白銀      
  12 141.52   10 122.71    2 115.33  街口銅      
   5 131.59    4 119.73    1  109.9  玉山金      
  13 129.15    8 100.91    5 127.99  聯發科      
   7 126.31    6 115.83    1 109.05   長榮      
   4 126.17    3 121.13    1 104.16 國泰費半      
   7  124.7    5 111.23    2 112.12  台達電      
   4 118.74    3 113.93    1 104.22 元黃金正2     
   7 117.24    5 113.02    2 103.73   鴻海      
   7  113.9    5 102.62    2 110.99 富邦日本      
   7 113.77    5  108.9    2 104.47 元全球AI     
   8 112.24    6  107.0    2  104.9  中信金      
   6 108.87    4   98.7    2 110.31   統一      
   4 105.95    2 108.86    2  97.33 元台灣50     
   1 105.62    1 105.62    0  100.0  國泰金      
   5 105.13    2 101.84    3 103.22 富邦台50     
   8 104.17    8 104.17    0  100.0 國泰美債正2    
   9 103.08    5 103.05    4 100.04   華碩      
   3 102.96    1 100.68    2 102.27  富邦金      
   1 102.54    1 102.54    0  100.0 元日圓反1     
   4 102.37    3  98.02    1 104.44 街口黃豆      
   7 101.64    7 101.64    0  100.0  元石油      
   7  100.8    6  98.12    1 102.74 元台灣50反1   
   7 100.45    6  95.16    1 105.56  元大金      
   2  99.52    1   99.8    1  99.72 元美元指數     
   7  99.45    4 100.19    3  99.26 元台灣50正2   
  16  98.61   13   94.7    3 104.13  台積電      
   4  96.77    4  96.77    0  100.0 元美債20反1   
   4  87.37    4  87.37    0  100.0 元黃金反1     
   7  84.94    7  84.94    0  100.0   聯電      
   1  59.58    1  59.58    0  100.0  台塑化      
