日期 : 2025-04-15
一年內交易績效排序
起使日期_2024-05-20
結束日期2025-04-14
            做多 做多 做空 做空
次數  利潤 次數 利潤 次數 利潤    品種
  13 208.81    7 189.47    6 110.21 尖牙正3      
   9 177.65    6 157.52    3 112.78  亞馬遜      
  14 171.02    8 142.07    6 120.38   臉書      
   5 159.83    2 141.58    3 112.89   美光      
   3 155.54    3 155.54    0  100.0  英特爾      
  14 143.84    8 127.38    6 112.93   奈飛      
  12 139.26    6 125.02    6  111.4   微軟      
   8 136.19    4 125.99    4 108.09  美超微      
   4 124.15    4 124.15    0  100.0   谷哥      
  12  123.6    8 112.11    4 110.25   蘋果      
  15 122.86    9 111.94    6 109.76  日經指      
   5 122.75    3  129.0    2  95.15  英偉達      
   7  121.9    6 124.43    1  97.97  羅素指      
  14 121.15    9 112.39    5  107.8 納斯達克指     
   7 120.93    4 111.81    3 108.15  台灣指      
   4 114.79    4 114.79    0  100.0  金礦股      
  10 113.74    7 126.65    3  89.81  台積電      
   3 113.34    3 113.34    0  100.0  能源股      
   6 112.88    6 112.88    0  100.0  工業股      
   8 110.94    4 114.42    4  96.96  費半指      
   4 110.23    3 107.98    1 102.08  金融股      
   4 110.11    3 107.09    1 102.82 美債正1      
   2 107.77    2 107.77    0  100.0  公用股      
   3 107.41    2 108.02    1  99.43  消費股      
  14 107.25    8 111.01    6  96.61 標普500指    
   6 105.73    6 105.73    0  100.0  生技股      
  14 104.39    9 109.45    5  95.38  道瓊指      
   3 103.04    3 103.04    0  100.0  醫保股      
   5 102.54    3 106.93    2  95.89 費半正3      
   4  98.35    4  98.35    0  100.0 WTI原油     
   2  95.78    2  95.78    0  100.0  地產股      
   2  91.09    2  91.09    0  100.0 美債反3      
   9  86.91    4 110.24    5  78.83  特斯拉      
  10    0.0    6    0.0    4 120.32  南韓指      
